urn,citationScheme,groupName,workTitle,versionLabel,exemplarLabel,online,language
urn:cts:greekLit:ggm0001.ggm001.1st1K-grc1,"chapter,paragraph",Anonymous,Anametresis Pontou,NA,NA,TRUE,"grc,lat,deu"
urn:cts:hebrewlit:heb0001.heb010.1st1K-eng1,"chapter,verse",NA,Isaias,NA,NA,TRUE,lat
urn:cts:greekLit:ogl0001.ogl001.1st1K-grc1,fragment,Pinytus,De Epistola Pinyti ad Dionysium,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:stoa0033a.tlg028.1st1K-grc1,chapter,pseudo-Aristotle,De mundo,NA,NA,TRUE,grc
urn:cts:greekLit:stoa0033a.tlg043.1st1K-grc1,chapter,pseudo-Aristotle,De spiritu,NA,NA,TRUE,grc
urn:cts:greekLit:stoa0121.stoa001.opp-grc1,"book,chapter",Eutropius,Breviarium historiae romanae,NA,NA,TRUE,grc
urn:ĉts:greekLit:stoa0146d.stoa001.opp-grc1,chapter,Hegemonius,Acta Archelai,NA,NA,TRUE,"lat,grc"
urn:ĉts:greekLit:stoa0146d.stoa001.opp-lat1,chapter,Hegemonius,Acta Archelai,NA,NA,TRUE,lat
urn:cts:greekLit:tlg0011.tlg003.1st1K-grc1,line,Sophocles,"Ajax,Machine readable text",NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0015.tlg001.opp-grc1,"book,chapter,section",Herodian,Ab excessu divi Marci,NA,NA,TRUE,"lat,grc"
urn:cts:greekLit:tlg0018.tlg001.opp-grc1,chapter,Philo Judaeus,De opificio mundi,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg002.opp-grc1,"book,chapter",Philo Judaeus,Legum allegoriarum libri i‑iii,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg003.opp-grc1,chapter,Philo Judaeus,De Cherubim,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg004.opp-grc1,chapter,Philo Judaeus,De sacrificiis Abelis et Caini,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg005.opp-grc1,chapter,Philo Judaeus,Quod deterius potiori insidiari soleat,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg006.opp-grc1,chapter,Philo Judaeus,De Posteritate Caini,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg007.opp-grc1,chapter,Philo Judaeus,De gigantibus,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg008.opp-grc1,chapter,Philo Judaeus,Quod deus sit immutabilis,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg009.opp-grc1,chapter,Philo Judaeus,De agricultura,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg010.opp-grc1,chapter,Philo Judaeus,De plantatione,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg011.opp-grc1,chapter,Philo Judaeus,De ebrietate,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg012.opp-grc1,chapter,Philo Judaeus,De sobrietate,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg013.opp-grc1,chapter,Philo Judaeus,De confusione linguarum,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg014.opp-grc1,chapter,Philo Judaeus,De migratione Abrahami,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg015.opp-grc1,chapter,Philo Judaeus,Quis rerum divinarum heres sit,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg016.opp-grc1,chapter,Philo Judaeus,De congressu eruditionis gratia,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg017.opp-grc1,chapter,Philo Judaeus,De fuga et inventione,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg018.opp-grc1,chapter,Philo Judaeus,De mutatione nominum,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg019.opp-grc1,"book,chapter",Philo Judaeus,De somniis (lib. i‑ii),NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg020.opp-grc1,chapter,Philo Judaeus,De Abrahamo,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg021.opp-grc1,chapter,Philo Judaeus,De Josepho,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg022.opp-grc1,"book,chapter",Philo Judaeus,De vita Mosis (lib. i‑ii),NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg023.opp-grc1,chapter,Philo Judaeus,De decalogo,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg024.opp-grc1,"book,chapter",Philo Judaeus,De specialibus legibus (lib. i‑iv),NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg025.opp-grc1,chapter,Philo Judaeus,De virtutibus,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg026.opp-grc1,chapter,Philo Judaeus,De praemiis et poenis et De exsecrationibus,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg027.opp-grc1,chapter,Philo Judaeus,Quod omnis probus liber sit,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg028.opp-grc1,chapter,Philo Judaeus,De vita contemplativa,NA,NA,TRUE,"grc,lat"
urn:cts:greekLit:tlg0018.tlg029.opp-grc1,chapter,Philo Judaeus,De aeternitate mundi,NA,NA,TRUE,"grc,lat"
